year_film,year_ceremony,ceremony,category,canon_category,name,film,winner,mapped_Category.
1930,1931,4,WRITING (Original Story),WRITING (Original Story),John Bright/Kubec Glasmon,The Public Enemy,FALSE,Other
1930,1931,4,WRITING (Original Story),WRITING (Original Story),Lucien Hubbard/Joseph Jackson,Smart Money,FALSE,Other
1931,1932,5,ACTOR,ACTOR IN A LEADING ROLE,Wallace Beery,The Champ,TRUE,Actor in a Leading Role
1931,1932,5,ACTOR,ACTOR IN A LEADING ROLE,Alfred Lunt,The Guardsman,FALSE,Actor in a Leading Role
1931,1932,5,ACTOR,ACTOR IN A LEADING ROLE,Fredric March,Dr. Jekyll and Mr. Hyde,TRUE,Actor in a Leading Role
1931,1932,5,ACTRESS,ACTRESS IN A LEADING ROLE,Marie Dressler,Emma,FALSE,Actress in a Leading Role
1931,1932,5,ACTRESS,ACTRESS IN A LEADING ROLE,Lynn Fontanne,The Guardsman,FALSE,Actress in a Leading Role
1931,1932,5,ACTRESS,ACTRESS IN A LEADING ROLE,Helen Hayes,The Sin of Madelon Claudet,TRUE,Actress in a Leading Role
1931,1932,5,ART DIRECTION,ART DIRECTION,Lazare Meerson,À Nous la Liberté,FALSE,Other
1931,1932,5,ART DIRECTION,ART DIRECTION,Richard Day,Arrowsmith,FALSE,Other
1931,1932,5,ART DIRECTION,ART DIRECTION,Gordon Wiles,Transatlantic,TRUE,Other
1931,1932,5,CINEMATOGRAPHY,CINEMATOGRAPHY,Ray June,Arrowsmith,FALSE,Other
1931,1932,5,CINEMATOGRAPHY,CINEMATOGRAPHY,Karl Struss,Dr. Jekyll and Mr. Hyde,FALSE,Other
1931,1932,5,CINEMATOGRAPHY,CINEMATOGRAPHY,Lee Garmes,Shanghai Express,TRUE,Other
1931,1932,5,DIRECTING,DIRECTING,Frank Borzage,Bad Girl,TRUE,Directing
1931,1932,5,DIRECTING,DIRECTING,King Vidor,The Champ,FALSE,Directing
1931,1932,5,DIRECTING,DIRECTING,Josef Von Sternberg,Shanghai Express,FALSE,Directing
1931,1932,5,OUTSTANDING PRODUCTION,BEST PICTURE,Samuel Goldwyn Productions,Arrowsmith,FALSE,Best Picture
1931,1932,5,OUTSTANDING PRODUCTION,BEST PICTURE,Fox,Bad Girl,FALSE,Best Picture
1931,1932,5,OUTSTANDING PRODUCTION,BEST PICTURE,Metro-Goldwyn-Mayer,The Champ,FALSE,Best Picture
1931,1932,5,OUTSTANDING PRODUCTION,BEST PICTURE,First National,Five Star Final,FALSE,Best Picture
1931,1932,5,OUTSTANDING PRODUCTION,BEST PICTURE,Metro-Goldwyn-Mayer,Grand Hotel,TRUE,Best Picture
1931,1932,5,OUTSTANDING PRODUCTION,BEST PICTURE,Paramount Publix,One Hour with You,FALSE,Best Picture
1931,1932,5,OUTSTANDING PRODUCTION,BEST PICTURE,Paramount Publix,Shanghai Express,FALSE,Best Picture
1931,1932,5,OUTSTANDING PRODUCTION,BEST PICTURE,Paramount Publix,The Smiling Lieutenant,FALSE,Best Picture
